DNDN	7.56	7.58	7.45	7.52	1476800	7.52	1193727660000
DELL	36.60	36.80	35.94	35.99	20709900	35.99	1113980460000
DXYN	3.19	3.38	3.15	3.35	35200	3.35	988182060000
DYII	9.38	9.38	8.75	9.00	4000	4.50	956818860000
DARA	12.62	14.87	12.56	14.62	8900	5850.00	951811260000
DHFT	16.10	16.30	16.10	16.30	10000	10.08	1068796860000
DRAD	4.52	4.67	4.51	4.53	12400	4.53	1173254460000
DRRX	3.41	3.60	3.25	3.26	284600	3.26	1155106860000
DAKT	28.38	28.62	27.65	28.22	142800	13.79	1135152060000
DHIL	63.60	63.69	62.90	63.01	2300	54.29	1161586860000
DXPE	18.70	20.21	18.08	19.84	5090000	9.92	1125990060000
DJCO	41.50	41.50	40.52	40.52	500	40.52	1216191660000
DATA	0.39	0.40	0.39	0.40	22300	0.40	1258099260000
DHIL	3.95	3.95	3.92	3.92	600	3.38	1051513260000
DHIL	4.26	4.26	4.26	4.26	200	3.67	1055228460000
DANKY	41.03	41.77	40.79	41.77	537500	41.17	823766460000
DTSI	16.07	16.45	15.21	15.63	301600	15.63	1236153660000
DBLE	4.53	4.53	4.53	4.53	200	4.53	980409660000
DRRX	8.25	8.62	8.25	8.62	52500	8.62	980928060000
DNBF	19.35	19.65	19.35	19.65	1500	17.24	1187679660000
DARA	0.85	0.90	0.75	0.90	100	36.00	1043308860000
DSTI	2.47	2.48	2.21	2.26	39900	2.26	1086678060000
DWCH	3.01	3.63	3.01	3.25	25400	1.62	1058252460000
DECK	24.00	24.75	24.00	24.00	79900	24.00	751618860000
DISH	35.89	36.15	35.12	35.22	1427500	30.76	1060066860000
DSGX	4.25	4.34	4.12	4.19	92700	4.19	940230060000
DIET	3.90	4.02	3.90	4.00	54200	4.00	1070524860000
DARA	11.62	11.62	11.38	11.38	700	4550.00	843721260000
DISK	3.62	3.62	3.38	3.44	22000	3.44	909039660000
DAIO	3.79	4.00	3.70	4.00	41700	4.00	1143014460000
DEIX	0.36	0.39	0.35	0.37	13600	0.37	1231228860000
DSPG	55.50	59.25	55.25	58.06	321700	51.45	961570860000
DYII	17.18	17.50	15.85	16.30	63300	16.30	996735660000
DEST	18.15	18.33	17.24	18.28	19000	18.28	1247814060000
DATA	6.22	6.22	6.07	6.10	15300	4.07	1071043260000
DXYN	13.60	13.83	13.13	13.83	1500	12.94	733132860000
DTV	25.15	25.71	25.00	25.55	5655100	25.55	1203494460000
DYAX	3.12	3.25	3.11	3.25	182800	3.25	1257494460000
DBRN	17.35	17.71	17.24	17.45	118200	8.73	1086159660000
DIET	1.90	1.93	1.90	1.90	14200	1.90	1016524860000
DXCM	12.42	12.55	12.09	12.24	220800	12.24	1151305260000
DEST	12.00	12.91	10.83	11.79	18700	11.79	1223967660000
DWCH	1.06	1.09	1.00	1.00	204400	2.25	980841660000
DITC	124.25	125.50	120.75	123.00	156600	61.50	949478460000
DGICB	21.77	22.01	21.77	22.01	500	15.22	1143446460000
DLIA	7.67	8.07	7.56	7.90	668200	7.90	1157698860000
DAVE	14.44	14.45	14.07	14.07	39700	14.07	1158044460000
DWCH	1.05	1.05	1.03	1.03	2600	0.51	1001574060000
DNEX	25.60	26.23	25.27	25.87	106800	25.87	1021532460000
DEST	8.75	8.75	8.75	8.75	100	8.75	859190460000
DELL	31.34	31.86	31.24	31.33	14265800	31.33	1056438060000
DSCO	11.55	12.00	11.35	12.00	441500	12.00	1077868860000
DLIA	2.97	3.26	2.95	3.00	309200	3.00	1222930860000
DIOD	6.00	6.25	6.00	6.25	42900	1.23	838364460000
DGLY	7.20	7.40	7.10	7.40	66700	7.40	1203926460000
DXPE	6.44	6.62	5.00	5.00	11000	2.50	929516460000
DAIO	2.45	2.47	2.44	2.47	40800	2.47	1230537660000
DRCO	12.30	12.50	12.30	12.49	49400	12.49	1249282860000
DORM	7.63	7.75	7.37	7.75	7600	3.87	859968060000
DRIV	29.56	29.61	28.78	28.95	1131800	28.95	1135065660000
DRCO	17.00	17.21	16.94	16.94	8200	16.94	1105516860000
DGAS	16.75	16.75	16.00	16.50	1100	8.10	863766060000
DAIO	5.12	5.62	5.00	5.12	160400	5.12	786787260000
DNDN	4.18	4.29	4.15	4.25	299400	4.25	1151305260000
DHIL	1.84	1.84	1.84	1.84	000	7.94	977904060000
DFR	15.91	16.04	15.50	15.61	24700	124.31	1179990060000
DSPG	23.60	24.09	23.60	24.02	160300	24.02	1089356460000
DINE	2.94	3.19	2.94	3.19	3800	8.11	925196460000
